Nick	Overview	Name	Romanized Name	Nationality	Born	Status	Years Active (Player)	Years Active (Coach)	Years Active (Analyst)	Role	Team	Nicknames	Alternate IDs	Approx. Total Winnings	Games
FaNg	"Justin ""FaNg"" Coakley (born May 7, 2002) is a Canadian professional Counter-Strike: Global Offensive player for Complexity Gaming."	Justin Coakley		Canada	May  7, 2002 (age 21)	Active	2018 – Present			entry fragger	Complexity Gaming			$105,711	Global Offensive
freshie	"Adam ""freshie"" Paterson (born April 26, 2002) is a Canadian professional Counter-Strike: Global Offensive player for Wildcard Gaming."	Adam Paterson		Canada	April 26, 2002 (age 21)	Active	2019 – Present			Rifler	Wildcard Gaming		frvshie	$16,827	Global Offensive
gloRinsz	"Mitch ""gloRinsz"" MacInnis is a Canadian professional Counter-Strike: Global Offensive player. He previously retired in 2018 before returning to competition in 2023."	Mitch MacInnis		Canada		Active	2013 – 2018, 2023 – Present				ViBE Esports			$5,791	Global Offensive
GooseBreeder	"Mounira ""GooseBreeder"" Dobie (born December 8, 1995) is a Canadian professional Counter-Strike: Global Offensive player."	Mounira Dobie		Canada	December  8, 1995 (age 27)	Active	2015 – Present				FlyQuest RED			$53,298	Global Offensive
HexT	"Jadan ""HexT"" Postma (born October 30, 2001) is a Canadian professional Counter-Strike: Global Offensive player for Evil Geniuses."	Jadan Postma		Canada	October 30, 2001 (age 21)	Active	2017 – Present			entry fragger	Evil Geniuses			$45,327	Global Offensive
INCREDIBLE	"Mathieu ""INCREDIBLE"" Bergeron (formerly known as INCRED) (born November 7, 1993) is a Canadian professional Counter-Strike: Global Offensive player."	Mathieu Bergeron		Canada	November  7, 1993 (age 29)	Active	2016 – 2021, 2023 – Present			AWPer	Miracle		INCRED	$7,354	Global Offensive
Inseaniac	"Sean ""Inseaniac"" Morrison is a Canadian professional Counter-Strike: Global Offensive player."	Sean Morrison		Canada		Active	2017 – Present							$3,801	Global Offensive
J0LZ	"David ""J0LZ"" Jolin (born March 28, 2000) is a Canadian professional Counter-Strike: Global Offensive player."	David Jolin		Canada	March 28, 2000 (age 23)	Active	2017 – Present			Rifler	WITHOUTWARNING			$38,641	Global Offensive
Jonji	"Jonathan ""Jonji"" Carey (born September 5, 1999) is a Canadian professional Counter-Strike: Global Offensive player. He most notably played for Riot Squad Esports, Chaos Esports Club, and Bad News Bears before a stint in VALORANT, where he briefly played for BBG's academy team in late 2021."	Jonathan Carey		Canada	September  5, 1999 (age 24)	Active	2016 – 2021, 2022 – 2023, 2023 – Present			entry fragger			Jonji-JLC	$121,227	Global Offensive
KayJay	"Kieran ""KayJay"" Playfair (born May 20, 1996) is an Canadian professional Counter-Strike: Global Offensive coach and former analyst."	Kieran Playfair		Canada	May 20, 1996 (age 27)	Active		2019 – Present	2015 – 2016	Assistant Coach	Bad News Eagles		KJ, KJP831		Global Offensive
KOLER	"Yannick ""KOLER"" Blanchette (born September 4, 1995) is a Canadian professional Counter-Strike: Global Offensive player. He retired on May 10, 2020 to pursue a career in VALORANT."	Yannick Blanchette		Canada	September  4, 1995 (age 28)	Active	2017 – 2020, 2023 – Present			Rifler				$3,631	Global Offensive
Melio	"Cedric ""Melio"" Perrault (born August 10, 2000) is a Canadian professional Counter-Strike: Global Offensive player."	Cedric Perrault		Canada	August 10, 2000 (age 23)	Active	2018 – Present				Miracle		M3lio, clotere72	$8,244	Global Offensive
NAF	"Keith ""NAF"" Markovic (also known as NAF-FLY) (born November 24, 1997) is a Canadian professional Counter-Strike: Global Offensive player for Team Liquid."	Keith Jordan Markovic		Canada	November 24, 1997 (age 25)	Active	2013 – Present			Rifler	Team Liquid		NAF-FLY	$1,226,799	Global Offensive
PNDLM	"Darius ""PNDLM"" Bandali (born October 31, 2000) is a Canadian professional Counter-Strike: Global Offensive player."	Darius Bandali		Canada	October 31, 2000 (age 22)	Active	2020 – Present				the jungle			$5,009	Global Offensive
rain	"Amanda ""rain"" Smith (born January 9, 1995) is a Canadian professional Counter-Strike: Global Offensive player."	Amanda Smith		Canada	January  9, 1995 (age 28)	Active	2014 – 2021, 2023 – Present			Rifler	Team Karma			$39,538	Global Offensive
SEMPHIS	"Kory ""SEMPHIS"" Friesen (born April 21, 1989) is a Canadian professional Counter-Strike: Global Offensive coach and former player."	Kory Friesen		Canada	April 21, 1989 (age 34)	Active	2009 – 2021	2022 – Present		Coach	Nouns Esports		semphis, seM	$76,706	Global Offensive
stanislaw	"Peter ""stanislaw"" Jarguz (born March 22, 1994) is a Canadian professional Counter-Strike: Global Offensive player of Polish descent."	Peter Stanisław Jarguz		Canada	March 22, 1994 (age 29)	Active	2013 – 2023, 2023 – Present	2023		In-game leader	Forsaken			$509,256	Global Offensive
steel	"Joshua ""steel"" Nissan (born December 28, 1989) is a British-Canadian professional Counter-Strike 2 player and a former Counter-Strike: Global Offensive and Counter-Strike: Source player. steel started his professional Counter-Strike career in Source. Following the transition to Global Offensive, he most notably led iBUYPOWER and Torqued. In 2015, he was permanently banned from competition or involvement in Valve-associated events due to his involvement in the North American match fixing scandal. Before making his return to Counter-Strike in 2017, he previously played Overwatch competitively for Splyce. The second part of his Counter-Strike career was marked by teams such as Torqued, GX, Ghost Gaming and Chaos Esports Club. After having played professional Counter-Strike for nine years, he retired in August 2020 after being signed by 100 Thieves as part of their VALORANT squad."	Joshua Nissan		United Kingdom	December 28, 1989 (age 33)	Valve Banned	2009 – 2015, 2017 – 2020, 2023 – Present				Bad News Bears		steel_, steeel, NISSAN	$103,309	Global Offensive
Twistzz	"Russel ""Twistzz"" Van Dulken (born November 14, 1999) is a Canadian professional Counter-Strike: Global Offensive player for FaZe Clan. He is the most accomplished North American player, having won the second Intel Grand Slam with Team Liquid in 2019, and the PGL Major in Antwerp with FaZe Clan in 2022, among other S-Tier trophies. Van Dulken resides in Germany since his move to FaZe in January 2021."	Russel David Kevin Van Dulken		Canada	November 14, 1999 (age 23)	Active	2015 – Present			Rifler	FaZe Clan			$1,551,439	Global Offensive
Walco	"Colby ""Walco"" Walsh (born November 12, 2001) is a Canadian professional Counter-Strike: Global Offensive player for Evil Geniuses."	Colby Walsh		Canada	November 12, 2001 (age 21)	Active	2017 – Present				Evil Geniuses			$41,100	Global Offensive
walker	"Walker ""walker"" Harris (born September 21, 1999) is a Canadian professional Counter-Strike: Global Offensive player."	Walker Harris		Canada	September 21, 1999 (age 24)	Active	2019 – 2022, 2023 – Present			AWPer				$5,883	Global Offensive
alexer	"Alex ""alexer"" Lagos (born March 29, 2004) is a Chilean professional Counter-Strike: Global Offensive player."	Alex Josue Lagos Calderon		Chile	March 29, 2004 (age 19)	Active	2019 – Present			Rifler				$4,301	Global Offensive
dav1deuS	"David ""dav1deuS"" Tapia (formerly known as dav1d) (born June 7, 2000) is a Chilean professional Counter-Strike: Global Offensive player."	David Tapia Maldonado		Chile	June  7, 2000 (age 23)	Active	2019 – Present			Rifler	9z Team		dav1dddd, dav1d	$41,088	Global Offensive
elemeNt	"Ignacio ""elemeNt"" Lagos (born April 4, 2000) is a Chilean professional Counter-Strike: Global Offensive player. He is Alex ""alexer"" Lagos' brother."	Ignacio Octavio Lagos Calderon		Chile	April  4, 2000 (age 23)	Active	2017 – Present							$6,733	Global Offensive
L!nKz^	"José Patricio ""L!nKz^"" Ortega (born November 11, 1993) is a Chilean professional Counter-Strike: Global Offensive player."	José Patricio Ortega		Chile	November 11, 1993 (age 29)	Active	2011 – 2020, 2022 – Present			AWPer				$5,751	Global Offensive
Proxure	"Cristian ""Proxure"" Rojas (born December 16, 1992) is a Chilean professional Counter-Strike: Global Offensive player."	Cristian Rojas Venegas		Chile	December 16, 1992 (age 30)	Active	2015 – Present			entry fragger				$2,265	Global Offensive
points	"Juan ""points"" Londoño (born August 8, 1997) is a Colombian professional Counter-Strike: Global Offensive player."	Juan Camilo Londoño		Colombia	August  8, 1997 (age 26)	Active	2015 – Present			entry fragger				$6,878	Global Offensive
spamzzy	"Andrés ""spamzzy"" Correa (born March 29, 1996) is a Colombian professional Counter-Strike: Global Offensive player."	Andrés Correa		Colombia	March 29, 1996 (age 27)	Active	2015 – Present							$12,825	Global Offensive
WIDOW	"Andres ""WIDOW"" Lopez is an Ecuadorian Counter-Strike: Global Offensive player and former Counter-Strike player."	Andres Lopez		Ecuador	August 19, 1989 (age 34)	Active	2012 2015 – 2018, 2021 – Present				Skull Cracker			$2,147	Global Offensive
malbsMd	"Mario ""malbsMd"" Samayoa (born October 17, 2002) is a Guatemalan professional Counter-Strike: Global Offensive player."	Mario Alberto Samayoa Díaz		Guatemala	October 17, 2002 (age 20)	Active	2015 – Present			entry fragger	M80		malbsMdSAIYAJIN	$38,460	Global Offensive
chuti	"Fernando ""chuti"" Planchart (born February 9, 1991) is a Mexican professional Counter-Strike: Global Offensive player."	Fernando Planchart		Mexico	February  9, 1991 (age 32)	Active	2013 – Present			entry fragger				$26,833	Global Offensive
k1Nky	"Francisco ""k1Nky"" Alvares (born March 23, 1991) is a Mexican professional Counter-Strike: Global Offensive player."	Francisco Alvares		Mexico	March 23, 1991 (age 32)	Active	2013 – Present			entry fragger			k1-25	$8,291	Global Offensive
MarKE	"Edgar ""MarKE"" Maldonado (born May 10, 1998) is a Mexican professional Counter-Strike: Global Offensive player."	Edgar Maldonado		Mexico	May 10, 1998 (age 25)	Active	2015 – Present				Nouns Esports			$167,008	Global Offensive
Marro	"Bryan ""Marro"" Valles (born October 2, 2000) is a Mexican professional Counter-Strike: Global Offensive player."	Bryan Valles Valenzuela		Mexico	October  2, 2000 (age 23)	Active	2016 – Present			support				$3,350	Global Offensive
SecretAgent	"Jose ""SecretAgent"" Fernandez (born October 21, 1988) is a Mexican professional Counter-Strike: Global Offensive player, coach and former Counter-Strike: Source and Counter-Strike player."	Jose Fernandez		Mexico	October 21, 1988 (age 34)	Active	2003 – 2018, 2019 – Present			In-game leader				$9,517	Global Offensive
alone	"Aldair ""alone"" Torres (born December 8, 1995) is a Peruvian professional Counter-Strike: Global Offensive coach and former player."	Aldair Torres		Peru	December  8, 1995 (age 27)	Active	2019	2017 – 2019, 2019 – Present		Coach			Malones2m		Global Offensive
GuepaRd	"Stephane ""GuepaRd"" Cazottes (born May 22, 1989) is a Peruvian professional Counter-Strike: Global Offensive assistant coach and former player."	Stephane Cazottes		Peru	May 22, 1989 (age 34)	Active	2003 – 2022, 2023 – Present	2022 – 2023		Rifler			gpd	$5,990	Global Offensive
Joman	"Jomer ""Joman"" Montoya (born July 14, 2000) is a Peruvian professional Counter-Strike: Global Offensive coach and former player."	Jomer Montoya		Peru	July 14, 2000 (age 23)	Active		2018 – 2021, 2022 – Present		Coach			jomaN		Global Offensive
Knight	"Jesus ""Knight"" Rosales (born October 31, 1998) is a  Peruvian professional Counter-Strike: Global Offensive player."	Jesus Rosales Ruiz		Peru	October 31, 1998 (age 24)	Active	2019 – Present			entry fragger				$3,122	Global Offensive
LKN	"Luis ""LKN"" León (born August 2, 1996) is a  Peruvian professional Counter-Strike: Global Offensive player."	Luis León		Peru	August  2, 1996 (age 27)	Active	2019 – Present			lurker				$1,917	Global Offensive
pacmanN	"Renato ""pacmanN"" Morales (formerly known as pacman^v^) (born September 25, 1997) is a Peruvian professional Counter-Strike: Global Offensive player."	Renato Morales		Peru	September 25, 1997 (age 26)	Active	2017 – Present			entry fragger			pacman, pacman^v^	$6,794	Global Offensive
Pock	"Gianfranco ""Pock"" Rosas (born April 23, 1989) is a Peruvian professional Counter-Strike: Global Offensive Coach and player and former professional Counter-Strike player."	Gianfranco Rosas		Peru	April 23, 1989 (age 34)	Active	2005 – 2018, 2019 – Present			support	Supremacy Gaming		pockSTROKES, Pockz	$2,375	Global Offensive
tor1towOw	"Joel ""tor1towOw"" Rios (born August 30, 1999) is a Peruvian professional Counter-Strike: Global Offensive player."	Joel Rios Manrique		Peru	August 30, 1999 (age 24)	Active	2014 – Present			entry fragger	CatEvil		tor1to	$20,927	Global Offensive
zockie	"Antonio ""zockie"" Montañez (born January 25, 1997) is a Peruvian professional Counter-Strike: Global Offensive player."	Antonio Montañez Alegre		Peru	January 25, 1997 (age 26)	Active	2016 – Present			lurker			zock	$3,821	Global Offensive
AAustiN	"Austin ""AAustiN"" Urb (born June 17, 1998) is an American professional Counter-Strike: Global Offensive player."	Austin Urb		United States	June 17, 1998 (age 25)	Active	2017 – Present			Rifler				$8,017	Global Offensive
adreN	"Eric ""adreN"" Hoag (born April 26, 1990) is an American professional Counter-Strike: Global Offensive coach, most recently for Team Liquid, and a former professional Counter-Strike: Global Offensive and Counter-Strike: Source player. He has prior experience in CS:GO as the in-game-leader for various North American teams, such as Team iBUYPOWER and Team Liquid, as well as in CS:S with Team Dynamic."	Eric Hoag		United States	April 26, 1990 (age 33)	Inactive	2009 – 2018, 2020 – 2021, 	2018 – 2020, 2021 – 2022, 		Coach				$93,012	Global Offensive
Andrew	"Andrew ""Andrew"" Burrell (born February 27, 2000) is an American professional Counter-Strike: Global Offensive player."	Andrew Burrell		United States	February 27, 2000 (age 23)	Active	2019 – Present				WITHOUTWARNING		werdnA	$5,535	Global Offensive
arcade	"John ""arcade"" Rogel (born August 29, 2001) is an American professional Counter-Strike: Global Offensive player."	John Rogel		United States	August 29, 2001 (age 22)	Active	2021 – Present			Rifler	Unjustified Gaming			$4,070	Global Offensive
artStar	"Carolynn ""artStar"" Noquez (born June 1, 1995) is an American professional Counter-Strike: Global Offensive player. She retired on July 7th, 2021 to pursue a career in VALORANT but later returned on August 30th, 2023."	Carolynn Noquez		United States	June  1, 1995 (age 28)	Active	2014 – 2021, 2023 – Present				Hyperion		lynnski	$26,504	Global Offensive
autimatic	"Timothy ""autimatic"" Ta (born September 10, 1996) is an American professional Counter-Strike: Global Offensive player for Evil Geniuses and a former semi-professional Counter-Strike: Source player. He most notably played for Team SoloMid, Major-winning Cloud9, and Gen.G Esports before initially retiring in February 2021 to pursue a career in VALORANT after being signed by T1.  Ta came back to competitive Counter-Strike in January 2022 as part of Evil Geniuses' restructured lineup."	Timothy Ta		United States	September 10, 1996 (age 27)	Active	2012 – 2020, 2022 – Present				Evil Geniuses		automatic, auti	$461,066	Global Offensive
Axed	"Tommy ""Axed"" Ryan (born May 22, 2001) is an American professional Counter-Strike: Global Offensive coach for Evil Geniuses and former player."	Tommy Ryan		United States	May 22, 2001 (age 22)	Active	2016 – 2020	2020 – Present		Coach	Evil Geniuses			$4,983	Global Offensive
becker	"Calvin ""becker"" Becker (born April 17, 1992) is an American professional Counter-Strike: Global Offensive coach and former professional player."	Calvin Becker		United States	April 17, 1992 (age 31)	Active	2017 – 2020	2020 – Present		Coach				$240	Global Offensive
ben1337	"Ben ""ben1337"" Smith (born March 18, 1998) is an American professional Counter-Strike: Global Offensive player."	Ben Smith		United States	March 18, 1998 (age 25)	Active	2016 – Present				Party Astronauts			$73,667	Global Offensive
